所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
开宝箱游戏,入口,无,"1. 活动期间，用户通过链接点击进入游戏会场
",,功能测试,高,手动,迭代测试
开宝箱游戏,时间,无,"1. 游戏时间
2. 奖品使用时间
","1. 12月10日0点-12月12日24点
2. 根据优惠券设定
",功能测试,高,手动,迭代测试
开宝箱游戏,显示,无,"1. title
2. 标题
3. 弹幕
4. 文案
5. 宝箱
6. 当前剩余次数
7. 中奖纪录
8. 目前奖品类型
9. 中奖率
10. 使用时间
11. 活动规则
12. 返回会场按钮
","1. 开箱有礼
2. 开箱有礼赢1212元券
3. 活动结束后不显示
4. 选择一个宝箱砸开！
5. 结果页
6. X次（每日起始有3次，每天0点刷新次数）
7. 中奖纪录弹窗：（不可点击）
8. 商家优惠券、无门槛优惠券、满减优惠券
9. 中奖率：50%其中：平台券最多获得1张；商家券10张，中平台优惠券和商家优惠券概率位1:3
10. 根据优惠券设定的时间
11. 文案说明
12. 点击后返回至主会场
",功能测试,高,手动,迭代测试
超级重器,入口,无,"1. 用户通过入口或链接点击进入分会场
",,功能测试,中,手动,迭代测试
超级重器,时间,无,"1. 12月10日0点-12月12日22点
",,功能测试,中,手动,迭代测试
超级重器,显示,无,"1. 分享按钮：包含二维码海报
2. banner
3. 分类tab
4. 拍品展示
5. 排序
6. 返回主会场悬浮按钮
7. 超过两屏返回顶部按钮
8. 底部文案：已经到底啦~
","3. 全部：所有分类
4. 图片
5. 按照热度从高到低排序
",功能测试,中,手动,迭代测试
超级重器,交互：,无,"1. 点击tab可进行切换
2. tab可滑动查看更多
3. 点击拍品：进入对应拍品详情页
",,功能测试,中,手动,迭代测试
超级重器,注意：每个分类独立报名，可实现每个分类独立置顶。全部里置顶优先，不同分类的置顶，热度高的在前,无,,,功能测试,中,手动,迭代测试
主会场,入口,无,"1. 用户通过链接或入口点击进入主会场
",,功能测试,低,手动,迭代测试
主会场,时间,无,"1. 12月10日0点-12月12日24点
",,功能测试,低,手动,迭代测试
主会场,显示,无,"1. BANNER
2. 右上角分享：包括二维码海报
3. 分会场入口
4. 排行榜：
5. 猜你喜欢
","3. 大师精工
4. title
5. 点击拍品：进入对应怕品详情页
",功能测试,低,手动,迭代测试
大师精工,入口,无,"1. 用户通过入口或链接点击进入分会场
",,功能测试,中,手动,迭代测试
大师精工,时间,无,"1. 12月10日0点-12月12日22点
",,功能测试,中,手动,迭代测试
大师精工,显示,无,"1. 分享按钮：包含二维码海报
2. title：大师精工
3. banner
4. 分类tab
5. 拍品展示：
6. 排序：按照热度从高到低排序
7. 返回主会场悬浮按钮
8. 超过两屏返回顶部按钮
9. 底部文案：已经到底啦~
10. 交互：
","4. 全部：所有分类
5. 图片
10. 点击tab可进行切换
",功能测试,中,手动,迭代测试
排行榜,入口,无,"1. 用户通过入口或链接点击进入会场
",,功能测试,中,手动,迭代测试
排行榜,时间,无,"1. 12月12日-12月19日
",,功能测试,中,手动,迭代测试
排行榜,显示,无,"1. title
2. 类型tab
3. 每种展示前50名
4. 前三名做区分
5. 每个店铺均可点击
","1. 微拍节店铺排行榜
2. 热消度总榜
",功能测试,中,手动,迭代测试
排行榜,交互：,无,"1. 点击店铺：
2. 点击tab：可以切换
3. 滑动tab：可查看剩余类别
","1. 有直播：进入直播间
",功能测试,中,手动,迭代测试
