所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
非人工完结工单(#1),商家删除被举报商品，工单状态变更为非人工完结工单,无,"1. 在工单未被受理时，商家端删除已被举报商品
","1. 预期：工单状态变更为非人工完结工单
",功能测试,高,手动,迭代测试
非人工完结工单(#1),商品举报工单已被完结，关联工单状态变更,无,"1. 检查该工单关联的商品是否还有其它关联的商品举报工单
","1. 预期：如有未完结关联工单，则关联工单状态变更为非人工完结
",功能测试,高,手动,迭代测试
非人工完结工单(#1),商品举报类目为其它-其它，场景标签为分类错误，系统自动完结工单,无,"1. 自动完结工单
","1. 预期：工单状态变更为非人工完结工单
",功能测试,高,手动,迭代测试
非人工完结工单(#1),商家店铺被封，工单状态变更,无,"1. 店铺中被举报的商品对应的商品举报工单自动完结
","1. 预期：处罚标签为违规发布
",功能测试,高,手动,迭代测试
非人工完结工单(#1),系统自动完结的工单发送系统通知,无,"1. 按人工处理的规则发送通知消息，若存在系统自动完结工单
","1. 预期：发送系统通知至举报人与被举报人
",功能测试,高,手动,迭代测试
投诉工作人员分类增加权限控制(#1),投诉工作人员分类展示（可见）,无,"1. 如用户为内控合规部/客户服务部-质培组/工单的创建人/受理人
","1. 预期：可见投诉工作人员这一分类
",功能测试,高,手动,迭代测试
投诉工作人员分类增加权限控制(#1),投诉工作人员分类展示（不可见）,无,"1. 如用户为除内控合规部/客户服务部-质培组/工单的创建人/受理人外身份
","1. 预期： 不可见投诉工作人员这一分类
",功能测试,高,手动,迭代测试
工单详情页面(#2),卖家展示信息,无,"1. 店铺名称
2. 店铺等级
3. 店铺id
4. 店铺手机号
","1. 预期：与c端卖家店铺名称一致
2. 预期：与c端卖家店铺等级一致
3. 预期：与c端卖家店铺id一致
4. 预期：点击后调用电话系统拨打电话
",功能测试,中,手动,迭代测试
工单详情页面(#2),发起方标签,无,"1. 商品举报工单/直播举报工单发起方均为举报人
","1. 预期：在举报人右侧展示
",功能测试,中,手动,迭代测试
工单详情页面(#2),买家展示信息,无,"1. 用户昵称
2. 用户会员、买家等级
3. 用户ID
4. 用户手机号
","1. 与除端买家昵称一致
2. 与c端买家会员等级一致
3. 与c端用户id一致
4. 点击调用电话系统拨打电话
",功能测试,中,手动,迭代测试
工单详情页面(#2),加急按钮,无,"1. 当工单处于未受理/受理中时
2. 当前工单一加急时
3. 如工单处于待分配、已结局、已关闭、已撤销、非人工完结、已解决时
","1. 加急按钮可用
2. 加急按钮置灰不可点击
3. 加急按钮置灰不可点击
",功能测试,中,手动,迭代测试
工单详情页面(#2),工单分类编辑操作权限,无,"1. 工单受理人/角色为工单管理员用户
2. 除工单受理人/角色为工单管理员以外用户
","1. 展示编辑icon
2. 不展示编辑icon
",功能测试,中,手动,迭代测试
工单详情页面(#2),工单分类编辑交互,无,"1. 点击字段的值或编辑ICON时触发编辑模式
2. 点击提交ICON
","1. 编辑ICON变成提交ICON
2. 提交变更信息
",功能测试,中,手动,迭代测试
工单详情页面(#2),工单分类编辑修改规则,无,"1. 不能修改一级分类，只能修改二级分类
",,功能测试,中,手动,迭代测试
工单详情页面(#2),创建人展示,无,"1. 系统根据用户举报生成的工单
2. 客服小二手动创建的工单
","1. 创建人展示为”系统“
2. 创建人展示为该操作人名称
",功能测试,低,手动,迭代测试
工单详情页面(#2),受理人展示,无,"1. 为空时
2. 如设有默认受理人
3. 默认受理人转交工单给操作人
","1. 展示-
2. 展示该默认受理人名称
3. 展示操作人名称
",功能测试,低,手动,迭代测试
工单详情页面(#2),受理人操作编辑权限,无,"1. 当前用户可进行该操作时
2. 角色为工单管理员的用户
3. 其余用户
","1. 显示编辑ICON
2. 显示编辑ICON
3. 不展示编辑icon
",功能测试,中,手动,迭代测试
工单详情页面(#2),受理人编辑交互,无,"1. 点击字段的值或编辑ICON时触发编辑模式
2. 点击提交ICON
","1. 编辑ICON变成提交ICON
2. 提交变更信息
",功能测试,中,手动,迭代测试
工单内容页面展示(#2),场景标签展示,无,"1. 商品举报工单和直播举报工单用户设置标签后
2. 如用户没有设置标签
","1. 展示对应标签
2. 展示-
",功能测试,中,手动,迭代测试
