所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
云仓竞拍数量(#95271),未到发行第7天20点,无,"1. 发行第7天20点
","1. 直播不可开奖，会有提示
",功能测试,高,手动,迭代测试
云仓竞拍数量(#95271),已到发行第7天20点,无,"1. 发行第7天20点
","1. 直播可开奖；开奖后，竞拍自动开始
",功能测试,高,手动,迭代测试
云仓竞拍数量(#95271),竞拍结束时间,无,"1. 直播当天23点竞拍结束
","1. 正常截拍，直播可以继续直播
",功能测试,高,手动,迭代测试
云仓竞拍数量(#95271),验证发行部分排序,无,"1. 价格倒序、时间正序
","1. 页面展示正确
",功能测试,高,手动,迭代测试
云仓竞拍数量(#95271),验证超售部分排序,无,"1. 价格倒序、时间正序（存在恶意出价也是按照这个顺序排序）
","1. 页面展示正确
",功能测试,高,手动,迭代测试
云仓竞拍数量(#95271),A竞拍单次的数量没有超过30%,无,"1. A用户单次买入数量没有超过发行量的30%
","1. A用户可以正常竞拍
",功能测试,高,手动,迭代测试
云仓竞拍数量(#95271),A竞拍单次的数量等于30%,无,"1. A用户单次买入数量等于发行量的30%
","1. A用户可以正常竞拍
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),A竞拍单次的数量超过30%,无,"1. A用户单次买入数量超过发行量的30%
","1. 页面给出提示，买入数量超出可买入的30%，此次买入无效
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),A用户累计5手没有超过30%,无,"1. A用户累计买入数量等于发行量的30%
","1. A用户可以正常竞拍
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),A用户累计5手等于超过30%,无,"1. A用户累计买入数量等于发行量的30%
","1. A用户可以正常竞拍
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),A用户累计超过30%,无,"1. A用户累计买入数量超过发行量的30%
","1. 页面给出提示，买入数量超出可买入的30%，此次买入无效
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),A用户恶意竞拍,无,"1. A用户恶意买入（这个数值上线后，可能也会变动，做的时候注意）
","1. A用户竞拍的直接放在超出发行量的下方，并按照价格倒序、时间正序排列
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),每次竞拍数量手动输入整数倍且不超过30%,无,"1. A用户出价加价是设置的整数倍，且不是目前最低价
","1. A用户可以正常竞拍
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),每次竞拍数量手动输入不是整数倍且不超过30%,无,"1. A用户出价加价不是设置的整数倍，且不是目前最低价
","1. 用户点击买入，页面给出提示，此次买入无效
",功能测试,中,手动,迭代测试
云仓竞拍数量(#95271),A用户竞拍的数量，部分超过总发行量 A用户竞拍的数量，部分超过总发行量 A用户部分可以竞拍成功，超过的部分买入失败（价格为可买入的价格）,无,,,功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),未参与申购的用户，首次参与竞拍,无,"1. 未参与申购的用户首次参与竞拍，且完成支付
","1. 首次就需要缴纳商品价值的10%，且是规定保证金的整数倍，买入成功且我的余额里面记录一笔流水
",功能测试,高,手动,迭代测试
云仓竞拍缴纳保证金(#972501),未参与申购的用户，第二次参与竞拍，未超过已经缴纳（保证金*10）,无,"1. 未参与申购的用户第二次参与竞拍
","1. 买入成功
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),未参与申购的用户，第二次参与竞拍，超过已经缴纳（保证金*10）,无,"1. 未参与申购的用户第二次参与竞拍
","1. 需要缴纳保证金是（商品价值的10%-已缴纳的保证金，且是规定的整数倍），买入成功且我的余额里面记录一笔流水
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),已参与申购的用户（不论是否中签），首次买入不超过（申购价*10）,无,"1. 已参与申购/已中签用户，申购的用户首次参与竞拍，且完成支付
","1. 买入成功(明细是货款）
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),已参与申购的用户（不论是否中签），首次买入超过（申购价*10）,无,"1. 已参与申购/已中签用户，第二次参与竞拍
","1. 需要缴纳保证金是（商品价值的10%-已缴纳的保证金），且是规定的整数倍，买入成功且我的余额里面记录一笔流水---------例子
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),已参与申购的用户（不论是否中签），首次买入超过申购价*10，补缴超出部分时取消支付,无,"1. 已参与申购/已中签用户，第二次参与竞拍
","1. 买入不成功
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),已参与申购的用户，第二次参与竞拍，未超过已经缴纳保证金*10,无,"1. 已参与申购/已中签用户，第二次参与竞拍
","1. 买入成功
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),已参与申购的用户，第二次参与竞拍，超过已经缴纳保证金*10,无,"1. 已参与申购/已中签用户，第二次参与竞拍
","1. 需要缴纳保证金是商品价值的10%-已缴纳的保证金，且是规定的整数倍，买入成功且我的余额里面记录一笔流水
",功能测试,中,手动,迭代测试
云仓竞拍缴纳保证金(#972501),保证金被顶掉，要释放出来,无,"1. A用户已缴纳保证金为500（可以保5000），此时A用户第一次先购入金额为2000元（最低价200元*10）；A用户再次购入4000（此时最低价为400元*10）
","1. A用户可以正常买入（因为首次购买的2000已经被顶掉，释放出来）
",功能测试,中,手动,迭代测试
云仓竞拍最低价(#952702),未超过发行数量时：输入框自动带出最低价，点击买入,无,"1. 用户点击买入框，直接点击买入，完成支付流程
","1. 买入成功
",功能测试,高,手动,迭代测试
云仓竞拍最低价(#952702),未超过发行数量时出不为设置的整数倍：点击买入,无,"1. 用户点击买入框，输入价格的整数倍，完成支付流程
","1. 买入不成功，且页面给出提示
",功能测试,中,手动,迭代测试
云仓竞拍最低价(#952702),未超过发行数量时出为设置的整数倍，点击买入,无,"1. 用户点击买入框，输入价格不是设置的整数倍，点击买入
","1. 买入成功
",功能测试,中,手动,迭代测试
云仓竞拍最低价(#952702),超过发行数量50%，页面显示出价栏数据，点击买入,无,"1. 用户点击买入，查看当前最低价（显示目前的价格：分为超过历史最低价及未超过历史最低价）
","1. 显示最低价
",功能测试,中,手动,迭代测试
云仓竞拍最低价(#952702),超过发行数量50%时出不为设置的整数倍且大于目前的最低价，点击买入,无,"1. 用户点击买入框，输入价格的整数倍，完成支付流程
","1. 买入不成功，且页面给出提示
",功能测试,中,手动,迭代测试
云仓竞拍最低价(#952702),超过发行数量50%时出为设置的整数倍且大于目前的最低价，点击买入,无,"1. 用户点击买入框，直接点击买入，完成支付流程
","1. 买入成功
",功能测试,中,手动,迭代测试
云仓竞拍时我的余额(#952703),用户点击买入，查看支付渠道,无,"1. 1、所有支付渠道展示正常2、所有支付渠道支付均为正常
",,功能测试,高,手动,迭代测试
云仓竞拍时我的余额(#952703),查看用户消费记录,无,"1. 支付保证金记录展示正常
",,功能测试,高,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量未达到发行数量的一半,无,"1. 所有用户竞拍数量未达到发行数量的一半，截拍
","1. 买家：所有人均买入成功，按照最低价结算（原始金额），未中签明细为货款，不会新增一条
",功能测试,高,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量等于发行数量的一半,无,"1. 竞拍数量等于发行数量的一半，截拍
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人,无,"1. 竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),正常竞拍数量未达到发行数量的一半，且存在恶意出价（最低价）,无,"1. 正常竞拍数量未达到发行数量的一半，且存在恶意出价（最低价）
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),正常竞拍数量未达到发行数量的一半（且不包含恶意出价），加恶意出价（最低价）超过发行数量50%,无,"1. 正常竞拍数量未达到发行数量的一半（且不包含恶意出价），加恶意出价（最低价）超过发行数量50%
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量等于发行数量的一半，且存在恶意出价（最低价）,无,"1. 竞拍数量等于发行数量的一半，且存在恶意出价（最低价）
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量等于发行数量的一半（不包含恶意出价），加恶意出价（最低价）正好在最低价下方,无,"1. 竞拍数量等于发行数量的一半（不包含恶意出价），加恶意出价（最低价）正好在最低价下方
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间早【最低价】）,无,"1. 竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间早【最低价】）
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间晚【最低价】）,无,"1. 竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间晚【最低价】）
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间早【高出最低价】）,无,"1. 竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间早【高出最低价】）
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间晚【高出最低价】）,无,"1. 竞拍数量超过发行数量的一半，且在最低价节点上出是同一个人，再加上恶意出价的用户（恶意出价用户比在节点出价的人时间晚【高出最低价】）
","1. 所有人均买入成功，按照最低价结算（原始金额）
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过发行量的50%，且超过部分低于最低价,无,"1. 竞拍数量超过发行量的50%，且超过部分低于最低价
","1. 此部分用户买入不成功
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),未中签用户，系统自动帮助出价的数量，均低于最低价,无,"1. 未中签用户，系统自动帮助出价的数量，均低于最低价
","1. 此部分用户买入不成功
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),未中签用户，系统自动帮助出价的数量（部分超出）,无,"1. 未中签用户，系统自动帮助出价的数量（部分超出）
","1. 此部分用户买入不成功
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过本次发行的总数量,无,"1. 竞拍数量超过本次发行的总数量
","1. 超出总发行数量部分买入不成功
",功能测试,中,手动,迭代测试
发行--竞价中拍(#95272),竞拍数量超过本次发行的总数量，且恶意出价的用户出的价格要高于正常在节点超售一部分的人）,无,"1. 竞拍数量超过本次发行的总数量，且恶意出价的用户出的价格要高于正常在节点超售一部分的人）
","1. 在最低价节点的那个用户超出的部分无法购买
",功能测试,中,手动,迭代测试
中拍付款(#95273),中拍拍品列表显示,无,"1. 买家：大宅云仓-我的订单-待付款列表新增新增相关订单（累计买入合并为一个订单）
","1. 显示正常
",功能测试,高,手动,迭代测试
中拍付款(#95273),完成订单支付,无,"1. 买家进入到待付款列表找到相关订单，完成支付
","1. 我的收藏新增购入的商品数据
",功能测试,高,手动,迭代测试
中拍付款(#95273),未中拍用户保证金原路退回,无,"1. 截拍后，未中奖用户，通过脚本筛选
","1. 未参与申购的用户，未能成功购入物品，保证金原路退回，新增流水
",功能测试,高,手动,迭代测试
中拍付款(#95273),A用户部分超出总发行量，保证金此时不退回,无,"1. 部分用户超出总的发行数量的部分
","1. 未支付的情况下，保证金暂时不退
",功能测试,中,手动,迭代测试
中拍付款(#95273),商家发行管理-新增至发行管理下方发行未售完列表中,无,"1. 商家发行管理-新增至发行管理下方发行未售完列表中
","1. 显示正常
",功能测试,中,手动,迭代测试
中拍付款(#95273),手续费为2%,无,"1. 用户正常购买竞拍中的商品
","1. 1、买入成功2、扣除商家2%的金额
",功能测试,中,手动,迭代测试
中拍未付款(#97254),超过48小时已中拍用户用户未付款,无,"1. 已中拍的用户超过48小时未付款
","1. 保证金平台扣除，不退还扣除规则：保证金全扣
",功能测试,中,手动,迭代测试
中拍未付款(#97254),用户进入到支付环节，取消付款,无,"1. 用户点击支付，进入到支付环节，取消支付
","1. 数据不变，商家库存未减少，依旧停留在待付款页面
",功能测试,中,手动,迭代测试
我的订单-交易订单(#95275),我的订单-页面显示,无,"1. 买家/卖家进入到我的订单页面
","1. 1、tab切换交易订单、提货订单2、默认进入到“交易订单”
",功能测试,高,手动,迭代测试
